pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
674944,Sean Guenther,Toledo Mud Hens,10.3,5.23,3.01,8,5,0,0,1
681517,Kyle Leahy,St. Louis Cardinals,88.0,3.07,3.01,80,28,1,5,1
542888,Shawn Armstrong,Cleveland Guardians,74.0,2.31,3.04,74,20,6,5,2
608331,Max Fried,New York Yankees,195.3,2.86,3.04,189,51,10,14,32
686973,Louis Varland,Toronto Blue Jays,72.7,2.97,3.1,75,22,2,6,1
676083,Janson Junk,Miami Marlins,110.0,4.17,3.11,77,13,4,8,16
686613,Hunter Brown,Houston Astros,185.3,2.43,3.11,206,57,7,17,31
605540,Brandon Woodruff,Milwaukee Brewers,64.7,3.2,3.13,83,14,3,9,12
518489,Ryan Brasier,Chicago Cubs,26.0,4.5,3.14,20,5,0,2,1
641154,Pablo López,Minnesota Twins,75.7,2.74,3.16,73,20,4,6,14
693855,Ian Seymour,Tampa Bay Rays,57.0,3.63,3.16,64,19,3,5,5
694462,Hurston Waldrep,Atlanta Braves,56.3,2.88,3.17,55,22,3,3,9
624133,Ranger Suárez,Boston Red Sox,157.3,3.2,3.18,151,38,6,14,26
680885,Spencer Schwellenbach,Atlanta Braves,110.7,3.09,3.22,108,18,2,13,17
668881,Hunter Greene,Cincinnati Reds,107.7,2.76,3.24,132,26,2,15,19
543056,Danny Coulombe,Texas Rangers,43.0,2.3,3.27,43,18,0,3,1
669387,Carmen Mlodzinski,Pittsburgh Pirates,99.0,3.55,3.3,89,27,4,8,12
519141,Drew Pomeranz,Los Angeles Angels,49.7,2.17,3.32,57,15,5,5,4
669302,Logan Gilbert,Seattle Mariners,131.0,3.44,3.32,173,31,7,20,25
641816,Tyler Mahle,San Francisco Giants,86.7,2.18,3.33,66,29,0,5,16
669923,George Kirby,Seattle Mariners,126.0,4.21,3.33,137,29,7,15,23
664285,Framber Valdez,Houston Astros,192.0,3.66,3.34,187,68,7,15,31
543243,Sonny Gray,Boston Red Sox,180.7,4.28,3.36,201,38,3,25,32
674841,Andrew Alvarez,Washington Nationals,23.3,2.31,3.36,20,10,1,1,5
657514,Brennan Bernardino,Colorado Rockies,51.7,3.14,3.37,43,26,3,1,3
592332,Kevin Gausman,Toronto Blue Jays,193.0,3.59,3.38,189,50,3,21,32
656731,Tylor Megill,New York Mets,68.3,3.95,3.4,89,33,7,6,14
571927,Steven Matz,Tampa Bay Rays,76.7,3.05,3.43,59,11,2,8,2
657585,Reed Garrett,New York Mets,55.3,3.9,3.43,64,26,1,5,1
693433,Bryan Woo,Seattle Mariners,186.7,2.94,3.44,198,36,4,26,30
656849,David Peterson,New York Mets,168.7,4.22,3.45,150,65,7,11,30
601713,Nick Pivetta,San Diego Padres,181.7,2.87,3.46,190,50,3,22,31
606965,Chris Devenski,Indianapolis Indians,16.7,2.16,3.46,14,5,2,1,1
681857,Reese Olson,Detroit Tigers,68.7,3.15,3.47,65,25,5,5,13
607481,Aaron Bummer,Atlanta Braves,54.3,3.81,3.49,51,17,11,3,2
663465,Kolby Allard,Columbus Clippers,65.0,2.63,3.5,42,14,1,5,2
694477,Chad Patrick,Milwaukee Brewers,119.7,3.53,3.5,127,40,4,13,23
477132,Clayton Kershaw,Los Angeles Dodgers,112.7,3.36,3.52,84,35,2,8,22
676282,Joey Cantillo,Cleveland Guardians,95.3,3.21,3.52,108,42,0,10,13
656302,Dylan Cease,Toronto Blue Jays,168.0,4.55,3.53,215,71,5,21,32
676508,Ben Casparius,Los Angeles Dodgers,77.7,4.64,3.54,71,21,3,8,3
663485,Cole Sands,Minnesota Twins,72.0,4.5,3.55,64,19,4,7,3
690990,Cade Horton,Chicago Cubs,118.0,2.67,3.55,97,33,6,10,22
676428,Brant Hurter,Detroit Tigers,63.0,2.43,3.58,68,27,11,4,4
593974,Wandy Peralta,Gigantes del Cibao,71.7,3.14,3.59,63,30,2,5,1
694819,Jacob Misiorowski,Milwaukee Brewers,66.0,4.36,3.59,87,31,3,8,14
641302,Tyler Alexander,Texas Rangers,97.7,4.98,3.6,82,30,2,9,5
594798,Jacob deGrom,Texas Rangers,172.7,2.97,3.61,185,37,3,26,30
642547,Freddy Peralta,New York Mets,176.7,2.7,3.61,204,66,9,21,33
571510,Matthew Boyd,Chicago Cubs,179.7,3.21,3.62,154,42,9,19,31
608379,Michael Wacha,Kansas City Royals,172.7,3.86,3.62,126,45,4,15,31
664299,Cristian Javier,Houston Astros,37.0,4.62,3.62,34,15,1,3,8
671096,Andrew Abbott,Cincinnati Reds,166.3,2.87,3.63,149,43,3,19,29
608650,Dietrich Enns,Baltimore Orioles,46.3,4.08,3.64,49,15,0,6,3
691587,Eury Pérez,Miami Marlins,95.3,4.25,3.64,105,32,3,12,20
670329,Rico Garcia,Baltimore Orioles,34.3,3.15,3.66,38,10,0,5,1
660761,José Suarez,Atlanta Braves,19.3,1.86,3.67,16,10,0,1,1
688158,David Morgan,San Diego Padres,47.3,2.66,3.67,50,23,2,4,2
656641,Jacob Latz,Texas Rangers,85.7,2.84,3.69,76,37,0,7,8
690986,Kyle Harrison,Boston Red Sox,35.7,4.04,3.69,38,14,1,4,6
667755,José Soriano,Los Angeles Angels,169.0,4.26,3.7,152,78,5,12,31
669084,DL Hall,Milwaukee Brewers,38.7,3.49,3.7,27,17,0,2,3
669194,Ryne Nelson,Arizona Diamondbacks,154.0,3.39,3.7,132,41,4,17,23
657746,Joe Ryan,Minnesota Twins,171.0,3.42,3.71,194,39,12,26,30
669022,MacKenzie Gore,Texas Rangers,159.7,4.17,3.71,185,64,5,20,30
693645,Cam Schlittler,New York Yankees,73.0,2.96,3.71,84,31,5,8,14
607192,Tyler Glasnow,Los Angeles Dodgers,90.3,3.19,3.72,106,43,3,10,18
518876,Merrill Kelly,Arizona Diamondbacks,184.0,3.52,3.73,167,48,2,23,32
806188,Cade Gibson,Miami Marlins,54.7,2.63,3.73,43,21,6,3,1
