Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR
2-Nov,TEX,Rowdy Tellez,1B,31,6.169,Became a free agent,0,0.1
2-Nov,TEX,Phil Maton,RP,33,8.047,Became a free agent,1.5,0.3
2-Nov,TEX,Dylan Moore,INF/OF,33,7,Became a free agent,-0.1,0.1
2-Nov,TOR,Max Scherzer,SP,41,17.079,Became a free agent,0.4,1.2
2-Nov,TOR,Chris Bassitt,SP,37,9.13,Became a free agent,2.4,1.9
2-Nov,TOR,Seranthony Domínguez,RP,31,7.131,Became a free agent,0.9,0.8
2-Nov,TOR,Isiah Kiner-Falefa,INF,31,8,Became a free agent,0.7,0.1
2-Nov,TOR,Ty France,1B,31,6.089,Became a free agent,0.9,0.1
2-Nov,TOR,Bo Bichette,SS,28,6.063,Became a free agent,3.8,4.4
2-Nov,WSN,Derek Law,RP,35,6.081,Became a free agent,,0
2-Nov,WSN,Josh Bell,1B,33,9.053,Became a free agent,0.1,1.2
2-Nov,WSN,Paul DeJong,INF,32,8.057,Became a free agent,0.2,0.1
31-Oct,CIN,Santiago Espinal,INF/OF,31,5.149,Outrighted to minors; elected free agency,-0.3,0
31-Oct,COL,Lucas Gilbreath,RP,30,3.15,Outrighted to minors; elected free agency,0,
31-Oct,COL,Aaron Schunk,INF,28,0.141,Outrighted to minors; elected free agency,-0.3,
31-Oct,WSN,Jorge Alfaro,C,33,5.16,Outrighted to minors; elected free agency,-0.3,
29-Oct,WSN,Mason Thompson,RP,28,4.022,Outrighted to minors; elected free agency,-0.1,
29-Oct,WSN,C.J. Stubbs,C,29,0.005,Outrighted to minors,-0.1,
29-Oct,WSN,Eduardo Salazar,RP,28,1.011,Outrighted to minors; elected free agency,-0.5,
28-Oct,CIN,Ian Gibaut,RP,32,4.077,Outrighted to minors; elected free agency,0.1,
23-Oct,MIL,Connor Thomas,RP,28,1,Outrighted to minors; elected free agency,-0.2,
22-Oct,LAA,Carson Fulmer,SP/RP,32,4.018,Outrighted to minors; elected free agency,0,
22-Oct,LAA,Connor Brogdon,RP,31,4.09,Outrighted to minors; elected free agency,-0.3,0
22-Oct,LAA,Carter Kieboom,INF,28,3.009,Outrighted to minors; elected free agency,-0.2,
22-Oct,LAA,Logan Davidson,INF/OF,28,0.042,Outrighted to minors,-0.6,
17-Oct,BOS,José De León,SP/RP,33,3.063,Outrighted to minors; elected free agency,0.1,
17-Oct,BOS,Isaiah Campbell,RP,28,1.029,Outrighted to minors,0,
13-Oct,CHW,Elvis Peguero,RP,29,2.136,Outrighted to minors,0,
13-Oct,CHW,Dominic Fletcher,OF,28,1.064,Outrighted to minors; elected free agency,0.3,0
13-Oct,CHW,Corey Julks,OF,30,1.123,Outrighted to minors; elected free agency,0,
13-Oct,CHW,Owen White,SP/RP,26,0.095,Outrighted to minors,0,
1-Oct,ATL,Sandy León,C,37,8.159,Outrighted to minors; elected free agency,-0.1,
1-Oct,ATL,Dane Dunning,SP/RP,31,4.138,Outrighted to minors; elected free agency,-0.1,0.1
1-Oct,ATL,Alexis Díaz,RP,29,3.088,Outrighted to minors; elected free agency,-0.6,0
1-Oct,ATL,Jarred Kelenic,OF,26,3.035,Outrighted to minors; elected free agency,-0.5,0
